track_name,artists,track_genre,album_name,Album Type,Total Tracks in Album,Available Markets,Album URL,Album Release Date,Track Duration (ms),popularity,Preview URL,explicit,External ID (ISRC),Track URL,Track Number,Track Type,Track URI,Is Local
Pyar Diwana Hota Hai,"Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Kati Patang,album,16,IN,https://open.spotify.com/album/1TLgl5iaW4vmy7R9BrmOey,1970-01-01,284133,53,,False,INH109544100,https://open.spotify.com/track/0Yu6DMaU2w0777Ek5XQNyI,16,track,spotify:track:0Yu6DMaU2w0777Ek5XQNyI,False
Raat Kali Ek Khwab Men Aai,"Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Buddha Mil Gaya,album,7,IN,https://open.spotify.com/album/0mX9Ey6vkMQMMeSGccOgzm,1971-12-31,299050,49,,False,INH109634180,https://open.spotify.com/track/4RgjVFbYOCYZn2SmU65tJP,4,track,spotify:track:4RgjVFbYOCYZn2SmU65tJP,False
"Ye Jawani Hai Diwani - From ""Jawani Diwani""","Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood","The Golden Years, Vol. 1",album,14,"AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",https://open.spotify.com/album/2Zzk6zrMzW0V5lPXdM1eRR,2013-01-01,266626,14,,False,INUM70500077,https://open.spotify.com/track/3CGCJzYnP59jcjzpfEJBlC,9,track,spotify:track:3CGCJzYnP59jcjzpfEJBlC,False
Ham The Woh Thi,"Kishore Kumar, S. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal",Chalti Ka Naam Gaadi,album,8,IN,https://open.spotify.com/album/6fDgdTncQer8TPTu8T7snN,1958-01-01,223895,27,,False,INH109745800,https://open.spotify.com/track/0yj028VArOoMAxZsUc1rn3,5,track,spotify:track:0yj028VArOoMAxZsUc1rn3,False
Rimjhim Gire Sawan,"Kishore Kumar, Lata Mangeshkar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, bollywood, bhajan, hindi pop, marathi pop, ghazal, hindi pop, bangla pop, bollywood",Manzil,album,6,IN,https://open.spotify.com/album/4Yu8JS9w6TBXwI0JX45e7p,1979-05-14,216373,56,,False,INH100705935,https://open.spotify.com/track/5P49QyK81dOSc3W7iWDlAT,1,track,spotify:track:5P49QyK81dOSc3W7iWDlAT,False
Aap Yahan Aaye Kisliye,"Kishore Kumar, Asha Bhosle","bangla pop, ghazal, hindi pop, bollywood, ghazal, marathi pop, bangla pop, bollywood, hindi pop",Kal Aaj Aur Kal,album,6,IN,https://open.spotify.com/album/5Uor4WvYRJbdQbrD5VWnJs,1971-07-01,412577,23,,False,INH109446030,https://open.spotify.com/track/2VIdarGhjv7cugfNEnN21l,1,track,spotify:track:2VIdarGhjv7cugfNEnN21l,False
Aajkal Tere Mere Pyar Ke Charche,"Suman Kalyanpur, Mohammed Rafi","marathi pop, ghazal, hindi pop, bollywood",Brahmachari,album,8,IN,https://open.spotify.com/album/3cOQmhAcXCH10utIFS7RaT,1968-01-01,309493,44,,False,INH109633530,https://open.spotify.com/track/03HZm1iCO3y8GTFv7yobL3,7,track,spotify:track:03HZm1iCO3y8GTFv7yobL3,False
O Haseena Zulfonwale Jane Jahan,"Asha Bhosle, Mohammed Rafi, R. D. Burman","ghazal, marathi pop, bangla pop, bollywood, hindi pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Teesri Manzil,album,8,IN,https://open.spotify.com/album/62V4SVnyV18fi2aGhHZQku,1966-01-01,415236,53,,False,INH109438850,https://open.spotify.com/track/6kXGGT1zngi3GsxgCbxclU,4,track,spotify:track:6kXGGT1zngi3GsxgCbxclU,False
Zindagi Ek Safar Hai Suhana - Kishore Kumar,Kishore Kumar,"bangla pop, ghazal, hindi pop, bollywood",Andaz,album,6,IN,https://open.spotify.com/album/11lBV9Z5IKyurmWwWIUd1a,1971-01-01,260400,48,,False,INH109336810,https://open.spotify.com/track/6pFkZQ3o224K3dAR16oWAj,4,track,spotify:track:6pFkZQ3o224K3dAR16oWAj,False
Main Koi Aisa Geet Gaoon,"Abhijeet, Alka Yagnik","bollywood, hindi pop, bollywood, hindi pop, desi",Yes Boss (Original Motion Picture Soundtrack),album,6,"AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, LY, TJ, VE, ET, XK",https://open.spotify.com/album/4f0ooiboxVpTb7Y1jI5WH8,1999-06-18,317000,59,,False,INV119900294,https://open.spotify.com/track/0WBClBemYPJR44H6uIn0kp,1,track,spotify:track:0WBClBemYPJR44H6uIn0kp,False
"Saagar Jaisi Aankhonwali - From ""Saagar""","Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Saagar (Original Motion Picture Soundtrack),album,7,"AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, IN, BY, KZ, MD, UA, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BW, BF, CV, CW, DM, FJ, GM, GD, GW, GY, FM, NA, NE, PG, SN, SC, KN, TT, AZ, KH, CM, TD, SZ, GN, KG, LA, MN, NP, RW, UZ, ZW, MU, MZ, CI, IQ, LY, TJ, VE, XK",https://open.spotify.com/album/6nSHpOQPQUbv9vVs14QAMF,1985-01-01,303400,55,,False,INUM70500039,https://open.spotify.com/track/0x6uQ4XMGrPDcYiWRZlBSq,4,track,spotify:track:0x6uQ4XMGrPDcYiWRZlBSq,False
